股票代码,股票名称,当前价,涨跌额,涨跌幅,年初至今,成交量,成交额,换手率,市盈(TTM),股息率,市值
SH601398,工商银行,4.6,+0.01,0.22%,13.04%,162641168,747105139,0.06%,4.522,6.601%,1639468782609
SH600706,曲江文旅,18.16,+0.54,3.06%,36.13%,40891562,744617232,16.1%,-31.213,,4631885696
SH600027,华电国际,5.46,+0.02,0.37%,-4.07%,136313878,743786376,1.6%,54.443,3.67%,55842483786
SH601225,陕西煤业,18,-0.15,-0.83%,9.4%,40080809,726824302,0.41%,8.256,12.111%,174510000000
SH600489,中金黄金,11.35,+0.25,2.25%,42.19%,64119375,725017161,1.32%,23.13,2.471%,55016997601
SH600011,华能国际,8.24,-0.12,-1.44%,8.28%,85334297,711466289,0.78%,66.946,,129352289278
SH601689,拓普集团,74.69,+0.54,0.73%,28.29%,9518761,710576957,0.86%,39.442,0.62%,82311989170
SH600570,恒生电子,34.19,+0.21,0.62%,-15.25%,20752988,707158372,1.09%,39.786,0.38%,64961220252
SH601088,中国神华,29.81,+0.37,1.26%,17.57%,22510048,674175567,0.14%,9.596,8.554%,592280579859
SH600096,云天化,17.79,+0.45,2.6%,-10.81%,37404286,673048704,2.14%,6.236,5.624%,32632708409
SH601728,中国电信,5.89,-0.02,-0.34%,45.85%,113758841,670242838,0.58%,18.298,3.718%,538977046937
SH601288,农业银行,3.44,-0.01,-0.29%,25.94%,194576240,669597712,0.06%,4.567,6.453%,1203941636523
SH601666,平煤股份,9.89,+0.2,2.06%,0.81%,66179139,660592339,2.88%,4.986,8.789%,22884141416
SH601668,中国建筑,5.7,+0.03,0.53%,9.6%,115480922,656091703,0.28%,4.64,4.439%,238941232331
SH600039,四川路桥,7.64,+0.03,0.39%,2.58%,84792446,654000554,1.28%,5.419,8.497%,66587017181
SH600536,中国软件,41.51,+0.13,0.31%,-7.46%,15744855,650307451,1.88%,-190.404,0.039%,35707123788
SH601995,中金公司,38.89,+0.32,0.83%,2.45%,16693929,645738500,1.8%,25.659,0.463%,187732019597
SH600765,中航重机,26.44,-0.9,-3.29%,-14.43%,24125538,639175265,1.65%,27.452,0.624%,38920977940
SH600498,烽火通信,19.6,+0.34,1.77%,50.04%,32725931,637082841,2.89%,53.744,0.561%,23256671785
SH600186,莲花健康,4.8,+0.35,7.87%,77.12%,136211526,636879000,7.59%,133.935,,8610725477
SH600353,旭光电子,8.68,+0.79,10.01%,-15.49%,74207649,622681022,9.18%,60.193,,7228641148
SH600028,中国石化,6.27,+0.04,0.64%,48.38%,99006909,622379666,0.1%,13.093,5.423%,751545522180
SH600938,中国海油,19.49,+0.12,0.62%,32.78%,31673996,616748666,1.11%,6.941,5.161%,927076230048
SH601881,中国银河,11.49,+0.25,2.22%,26.04%,53831078,613551286,0.78%,14.468,1.925%,121244455453
SH603087,甘李药业,42.73,+2.82,7.07%,31.15%,14301534,602828657,2.69%,-226.515,,24170361236
SH603650,彤程新材,32.76,+1.15,3.64%,6.5%,18491039,601250661,3.11%,57.79,0.245%,19494263585
SH601600,中国铝业,6.66,+0.09,1.37%,49.89%,90030419,598835021,0.69%,36.308,0.541%,114296199730
SH600941,中国移动,98.43,+0.76,0.78%,51.79%,6006049,590875395,0.79%,16.027,4.266%,2104791010758
SH601166,兴业银行,16.23,+0.07,0.43%,-0.79%,35959235,582125530,0.17%,3.783,7.32%,337166574235
SH600031,三一重工,16.7,+0.14,0.85%,6.83%,34586055,575975911,0.41%,28.111,0.959%,141726254853
SH601377,兴业证券,6.52,+0.13,2.03%,15.83%,86924439,562497888,1.01%,18.377,1.997%,56306637157
SH600699,均胜电子,18.93,+0.73,4.01%,35.61%,30029329,562425766,2.19%,27.331,0.513%,26666720209
SH600547,山东黄金,26.21,+0.21,0.81%,37.18%,21238957,558359071,0.59%,74.778,0.267%,117248587850
SH603160,汇顶科技,62.34,+0.95,1.55%,24.18%,8879413,554204209,1.94%,-31.412,,28551292410
