股票代码,股票名称,当前价,涨跌额,涨跌幅,年初至今,成交量,成交额,换手率,市盈(TTM),股息率,市值
SH601628,中国人寿,36.99,0,0%,1.1%,10710254,395619910,0.05%,45.691,1.326%,1045511437950
SH600879,航天电子,7.84,+0.05,0.64%,16.36%,50284121,393698690,1.85%,40.324,0.742%,25866506779
SH600066,宇通客车,13.83,+0.66,5.01%,98.8%,28458976,387887022,1.29%,23.648,7.22%,30618779454
SH601456,国联证券,10.62,+0.06,0.57%,-5.6%,35635325,377671623,1.49%,32.324,,30073431044
SH600497,驰宏锌锗,5.51,+0.1,1.85%,11.54%,68605416,376415210,1.35%,38.931,2.178%,28053016540
SH600585,海螺水泥,25.82,-0.16,-0.62%,-0.07%,14263252,368868420,0.36%,11.134,5.73%,136827992590
SH601319,中国人保,5.96,+0.06,1.02%,17.25%,61501501,366611381,0.17%,10.141,2.781%,263574983875
SH601901,方正证券,7.35,+0.19,2.65%,15.4%,49795447,363552488,0.6%,27.93,0.163%,60505945253
SH601989,中国重工,4.25,+0.1,2.41%,21.78%,85635241,360661904,0.39%,-64.444,,96908650127
SH603288,海天味业,39.06,+0.6,1.56%,-40.43%,9314035,360256416,0.17%,36.809,1.492%,217197057249
SH603466,风语筑,12.8,+0.63,5.18%,-5.19%,28078027,359376194,4.72%,30.081,0.273%,7613111283
SH601519,大智慧,8,+0.01,0.13%,39.13%,45264577,359028387,2.26%,60.879,,16155382400
SH601669,中国电建,5.12,+0.04,0.79%,-26.17%,69174434,353247656,0.53%,7.293,2.344%,88197935790
SH601186,中国铁建,8.88,+0.07,0.79%,17.94%,39581513,350249849,0.34%,4.504,3.153%,120586328520
SH600348,华阳股份,8.25,+0.13,1.6%,-6.86%,42206283,349198019,1.17%,4.427,7.091%,29761875000
SH600157,永泰能源,1.43,0,0%,-6.54%,241661850,347723963,1.09%,14.87,,31771402727
SH600435,北方导航,10.78,-0.28,-2.53%,-6.74%,32195400,346892087,2.15%,75.293,0.371%,16149932847
SH601985,中国核电,7.32,+0.06,0.83%,24.9%,47487455,346454322,0.25%,14.379,2.319%,138225645226
SH603444,吉比特,387,+6.2,1.63%,24.47%,890665,345602804,1.24%,19.249,6.177%,27879906087
SH601006,大秦铁路,7.29,+0.07,0.97%,16.66%,47303898,344159392,0.31%,9.683,6.575%,110567624650
SH600557,康缘药业,18.12,+0.91,5.29%,-2.17%,19070575,342798696,3.31%,21.225,1.215%,10592914890
SH600009,上海机场,39.42,+0.18,0.46%,-31.69%,8688151,341498060,0.45%,-72.839,,98095934423
SH601919,中远海控,9.79,+0.06,0.62%,9.09%,34687813,339461512,0.27%,2.579,19.408%,158325141265
SH603078,江化微,17.64,-0.18,-1.01%,12.15%,18880294,334614329,5.7%,62.403,0.306%,6802641055
SH603688,石英股份,99.42,+0.95,0.96%,-23.66%,3339642,332552776,0.92%,11.235,0.881%,35918171867
SH600533,栖霞建设,3.33,-0.27,-7.5%,-10.12%,99501771,331203122,9.48%,984.149,3.021%,3496500000
SH600522,中天科技,14.48,+0.17,1.19%,-9.76%,22857826,330270727,0.67%,14.767,0.692%,49419510961
SH601818,光大银行,3.06,+0.04,1.32%,6.16%,105976805,322539619,0.23%,3.954,6.23%,180801786247
SH600703,三安光电,15.84,+0.17,1.08%,-7.43%,20419348,322430325,0.41%,-1024.156,0.315%,79026056636
SH600132,重庆啤酒,89.96,+2.08,2.37%,-27.53%,3609668,321917311,0.75%,31.096,2.889%,43538048972
SH603501,韦尔股份,93.11,+0.75,0.81%,20.88%,3461496,321497069,0.29%,-97.424,0.09%,110116416919
SH600196,复星医药,28.09,+0.46,1.66%,-19.16%,11411820,319961049,0.54%,18.902,1.495%,75060879203
SH600326,西藏天路,4.49,+0.28,6.65%,29.42%,71216123,317616600,5.96%,-8.803,,5375627257
SH600909,华安证券,4.98,+0.05,1.01%,10.86%,63859655,316568105,1.36%,20.98,2.008%,23394361591
SH600312,平高电气,11.5,+0.67,6.19%,46.08%,27810825,315800159,2.05%,36.376,0.478%,15604595054
SH600621,华鑫股份,12.3,+0.07,0.57%,20.17%,25748759,315740561,2.43%,40.26,0.814%,13049061292
SH601816,京沪高铁,5.06,0,0%,3.06%,61855085,313458488,0.13%,44.558,0.217%,248478812132
SH600989,宝丰能源,14.5,+0.17,1.19%,21.5%,21632527,312771393,0.29%,23.414,1.93%,106333720000
SH600422,昆药集团,16.56,+0.89,5.68%,18.28%,19088972,312683273,2.52%,32.209,0.966%,12552264207
SH601658,邮储银行,4.88,-0.02,-0.41%,11.42%,63944492,311952025,0.1%,5.531,5.287%,483906051065
SH600266,城建发展,6.62,-0.04,-0.6%,45.17%,47124601,311106268,2.09%,-130.653,1.511%,14938278912
